"gene","train_test","tissue","Pearson","name"
"CD94","Spleen2","Spleen",0.746118609249817,""
"CD98","LymphNode1","Lymph Node",0.798033242059019,""
"CD98","LymphNode2","Lymph Node",0.794833826557594,""
"CD98","Spleen1","Spleen",0.652165027222206,""
"CD98","Spleen2","Spleen",0.522469677065597,""
"F4-80","LymphNode1","Lymph Node",0.330968666392271,""
"F4-80","LymphNode2","Lymph Node",0.367457704228574,""
"F4-80","Spleen1","Spleen",0.732975916764687,""
"F4-80","Spleen2","Spleen",0.675224081145923,""
"FR4","LymphNode1","Lymph Node",0.850290223216831,""
"FR4","LymphNode2","Lymph Node",0.836148606165647,""
"FR4","Spleen1","Spleen",0.857452785396592,""
"FR4","Spleen2","Spleen",0.859862726314756,""
"FceRIa","LymphNode1","Lymph Node",0.325543697912173,""
"FceRIa","LymphNode2","Lymph Node",0.32388723927017,""
"FceRIa","Spleen1","Spleen",0.48563200105042,""
"FceRIa","Spleen2","Spleen",0.356814244046276,""
"I.A-I.E","LymphNode1","Lymph Node",0.945740321063138,""
"I.A-I.E","LymphNode2","Lymph Node",0.945406608454856,""
"I.A-I.E","Spleen1","Spleen",0.951592472539606,""
"I.A-I.E","Spleen2","Spleen",0.950016325779306,""
"IgD","LymphNode1","Lymph Node",0.967755465956487,""
"IgD","LymphNode2","Lymph Node",0.968299846275978,""
"IgD","Spleen1","Spleen",0.963695246810696,""
"IgD","Spleen2","Spleen",0.965404163997112,""
"KLRG1","LymphNode1","Lymph Node",0.40489147373233,""
"KLRG1","LymphNode2","Lymph Node",0.373407915087383,""
"KLRG1","Spleen1","Spleen",0.717558324755718,""
"KLRG1","Spleen2","Spleen",0.700095652407174,""
"Ly.49A","LymphNode1","Lymph Node",0.408397954971016,""
"Ly.49A","LymphNode2","Lymph Node",0.413741645955475,""
"Ly.49A","Spleen1","Spleen",0.492200655267786,""
"Ly.49A","Spleen2","Spleen",0.485147224671325,""
"Ly.6A-E","LymphNode1","Lymph Node",0.753657344525385,""
"Ly.6A-E","LymphNode2","Lymph Node",0.768191213645539,""
"Ly.6A-E","Spleen1","Spleen",0.818397747552426,""
"Ly.6A-E","Spleen2","Spleen",0.825276779399315,""
"Ly.6C","LymphNode1","Lymph Node",0.75899009616597,""
"Ly.6C","LymphNode2","Lymph Node",0.766552102626119,""
"Ly.6C","Spleen1","Spleen",0.801813821438257,""
"Ly.6C","Spleen2","Spleen",0.804503075873734,""
"Ly.6G","LymphNode1","Lymph Node",0.752115374848145,""
"Ly.6G","LymphNode2","Lymph Node",0.836607997276148,""
"Ly.6G","Spleen1","Spleen",0.971151549488363,""
"Ly.6G","Spleen2","Spleen",0.95738418098758,""
"Ly49D","LymphNode1","Lymph Node",0.440516349532399,""
"Ly49D","LymphNode2","Lymph Node",0.473608331876732,""
"Ly49D","Spleen1","Spleen",0.697536202105579,""
"Ly49D","Spleen2","Spleen",0.708802817836659,""
"Ly49H","LymphNode1","Lymph Node",0.318458439633455,""
"Ly49H","LymphNode2","Lymph Node",0.351405438229814,""
"Ly49H","Spleen1","Spleen",0.525999333707577,""
"Ly49H","Spleen2","Spleen",0.569834982482722,""
"Siglec-H","LymphNode1","Lymph Node",0.603639476864757,""
"Siglec-H","LymphNode2","Lymph Node",0.572814036222799,""
"Siglec-H","Spleen1","Spleen",0.807588386521295,""
"Siglec-H","Spleen2","Spleen",0.744909813432953,""
"TCR.Bchain","LymphNode1","Lymph Node",0.934026830300869,""
"TCR.Bchain","LymphNode2","Lymph Node",0.937076990700356,""
"TCR.Bchain","Spleen1","Spleen",0.951930993904339,""
"TCR.Bchain","Spleen2","Spleen",0.950726974982158,""
"TCR.GD","LymphNode1","Lymph Node",0.360201930878061,""
"TCR.GD","LymphNode2","Lymph Node",0.338335613277077,""
"TCR.GD","Spleen1","Spleen",0.412426915017282,""
"TCR.GD","Spleen2","Spleen",0.391730220607215,""
"TCR.RD","LymphNode1","Lymph Node",0.334446381134953,""
"TCR.RD","LymphNode2","Lymph Node",0.348813257528355,""
"TCR.RD","Spleen1","Spleen",0.454577112246267,""
"TCR.RD","Spleen2","Spleen",0.448141785874108,""
"TCR.Va2","LymphNode1","Lymph Node",0.12732007941016,""
"TCR.Va2","LymphNode2","Lymph Node",0.121264213995502,""
"TCR.Va2","Spleen1","Spleen",0.203253520450798,""
"TCR.Va2","Spleen2","Spleen",0.188896493629273,""
"TCR.Va8.3","LymphNode1","Lymph Node",0.114323412066994,""
"TCR.Va8.3","LymphNode2","Lymph Node",0.113743443497778,""
"TCR.Va8.3","Spleen1","Spleen",0.200562251622566,""
"TCR.Va8.3","Spleen2","Spleen",0.208831770992258,""
"TCR.Vb5.1-5.2","LymphNode1","Lymph Node",0.316103818314181,""
"TCR.Vb5.1-5.2","LymphNode2","Lymph Node",0.311033929220742,""
"TCR.Vb5.1-5.2","Spleen1","Spleen",0.274789439413796,""
"TCR.Vb5.1-5.2","Spleen2","Spleen",0.282856677277277,""
"TCR.Vb8.1-8.2","LymphNode1","Lymph Node",0.308521398433889,""
"TCR.Vb8.1-8.2","LymphNode2","Lymph Node",0.357532622529992,""
"TCR.Vb8.1-8.2","Spleen1","Spleen",0.321989740460351,""
"TCR.Vb8.1-8.2","Spleen2","Spleen",0.302544815354005,""
"TER.119","LymphNode1","Lymph Node",0.215127327452093,""
